BO-Fam:PS-B-1	488.700037004	488.200000000	489.200000000
BO-Fam:PS-B-2	488.700773499	488.200000000	489.200000000
BO-Fam:PS-QD	057.200020722	056.700000000	057.700000000
BO-Fam:PS-QF	063.500000000	063.000000000	064.000000000
BO-Fam:PS-SD	067.500000000	067.000000000	068.000000000
BO-Fam:PS-SF	067.500000000	067.000000000	068.000000000
SI-Fam:PS-B1B2-1	500.000000000	499.500000000	500.500000000
SI-Fam:PS-B1B2-2	500.000000000	499.500000000	500.500000000
SI-Fam:PS-Q1	125.000000000	124.500000000	125.500000000
SI-Fam:PS-Q2	125.000000000	124.500000000	125.500000000
SI-Fam:PS-Q3	125.000000000	124.500000000	125.500000000
SI-Fam:PS-Q4	125.000000000	124.500000000	125.500000000
SI-Fam:PS-QDA	062.500000000	062.000000000	063.000000000
SI-Fam:PS-QDB1	062.500000000	062.000000000	063.000000000
SI-Fam:PS-QDB2	062.500000000	062.000000000	063.000000000
SI-Fam:PS-QDP1	062.500000000	062.000000000	063.000000000
SI-Fam:PS-QDP2	062.500000000	062.000000000	063.000000000
SI-Fam:PS-QFA	125.000000000	124.500000000	125.500000000
SI-Fam:PS-QFB	187.500000000	187.000000000	125.500000000
SI-Fam:PS-QFP	187.500000000	187.000000000	125.500000000
